id,site,sex_coded,sex,age,viewcat,setting,prenumb,prelet,prebody,postnumb,postlet,postbody,ppvt,regular
1,1,1,m,66,1,preschool,40,23,16,44,30,18,62,0
2,1,2,f,67,3,preschool,39,26,30,39,37,30,8,1
3,1,1,m,56,3,preschool,9,14,22,40,46,21,32,1
4,1,1,m,49,1,preschool,14,11,23,19,14,21,27,0
5,1,1,m,69,4,preschool,51,47,32,54,63,32,71,1
6,1,2,f,54,3,preschool,33,26,29,39,36,27,32,1
7,1,2,f,47,3,preschool,13,12,23,44,45,22,28,1
8,1,1,m,51,2,preschool,52,48,32,51,47,31,38,1
9,1,1,m,69,4,preschool,42,44,27,48,50,32,49,1
10,1,2,f,53,3,preschool,31,38,30,52,52,32,32,1
11,1,2,f,58,2,preschool,38,48,25,42,52,26,43,1
12,1,2,f,58,4,preschool,29,25,21,40,29,17,58,1
13,1,2,f,49,1,preschool,13,8,28,18,16,20,39,0
14,1,1,m,64,2,preschool,21,11,26,35,28,26,43,1
15,1,2,f,58,2,preschool,16,15,23,22,21,28,56,1
16,1,1,m,49,3,preschool,24,12,25,45,45,28,37,1
17,1,1,m,57,2,preschool,16,15,25,28,24,25,43,1
18,1,1,m,45,4,preschool,11,12,16,17,16,25,29,1
19,1,1,m,45,3,preschool,23,16,25,35,46,32,45,1
20,1,1,m,60,3,preschool,23,19,19,38,50,28,51,1
21,1,2,f,65,4,preschool,41,24,29,51,48,29,55,1
22,1,1,m,44,4,home,22,15,25,45,42,32,49,1
23,1,2,f,38,3,home,7,9,20,19,23,22,31,1
24,1,1,m,35,4,home,16,6,11,20,27,22,40,1
25,1,2,f,42,2,home,11,7,15,21,13,14,48,1
26,1,2,f,50,2,home,36,14,26,42,18,25,35,1
27,1,1,m,61,4,preschool,40,42,28,20,27,24,62,1
28,1,2,f,34,4,home,10,13,17,13,17,21,42,1
29,1,1,m,60,3,home,23,13,23,45,20,28,58,1
30,1,2,f,39,2,home,5,5,11,9,15,27,29,1
31,1,1,m,39,3,home,25,4,24,13,11,21,49,1
32,1,2,f,41,2,home,14,8,24,18,17,21,30,1
33,1,2,f,55,3,home,45,15,31,46,43,32,62,1
34,1,2,f,42,3,home,15,11,23,33,27,29,58,1
35,1,1,m,50,4,home,28,17,18,48,41,29,55,1
36,1,1,m,58,2,home,10,12,13,27,23,29,33,1
37,1,2,f,59,3,home,23,7,27,49,39,32,55,1
38,1,2,f,36,1,home,5,12,11,13,12,12,27,0
39,1,1,m,51,2,home,34,16,32,21,17,21,62,1
40,1,1,m,51,2,home,33,18,31,7,16,21,58,1
41,1,1,m,48,3,home,8,14,13,28,22,21,34,1
42,1,1,m,43,2,home,13,13,17,22,19,24,32,1
43,1,2,f,35,3,home,9,12,23,9,11,29,32,1
44,1,2,f,36,1,home,5,2,11,6,6,21,28,0
45,1,2,f,39,2,home,4,18,20,22,8,19,29,1
46,1,1,m,45,4,home,16,13,14,48,48,29,35,1
47,1,1,m,58,3,home,45,38,30,46,48,32,67,1
48,1,2,f,38,3,home,8,10,13,20,36,26,29,1
49,1,2,f,57,4,home,22,15,26,28,20,24,35,1
50,1,1,m,49,3,home,47,35,26,12,13,26,67,1
51,1,1,m,55,1,preschool,18,11,24,23,10,20,39,0
52,1,2,f,44,4,preschool,41,39,25,50,47,30,90,1
53,1,1,m,56,1,preschool,15,11,13,13,13,15,46,0
54,1,2,f,48,2,preschool,14,11,17,27,32,26,39,1
55,1,1,m,50,2,preschool,9,10,16,17,15,21,34,1
56,1,1,m,52,1,preschool,13,15,16,18,14,19,38,0
57,1,2,f,51,2,preschool,20,14,24,36,21,28,34,1
58,1,2,f,58,1,preschool,23,17,25,28,16,25,37,0
59,1,2,f,48,3,preschool,13,10,13,23,15,27,33,1
60,1,1,m,54,4,preschool,10,13,16,19,20,19,36,1
61,2,1,m,52,4,preschool,21,35,20,47,48,27,49,1
62,2,2,f,48,1,preschool,13,12,20,17,19,28,53,0
63,2,1,m,55,4,preschool,29,13,28,45,31,30,65,1
64,2,1,m,55,2,preschool,32,16,23,46,28,28,55,1
65,2,2,f,55,2,home,39,27,30,52,40,32,85,1
66,2,2,f,56,1,home,30,18,26,44,46,29,43,0
67,2,2,f,50,3,preschool,24,15,31,52,43,31,65,1
68,2,1,m,51,3,preschool,37,19,28,48,47,32,75,1
69,2,1,m,58,3,preschool,37,14,30,36,38,28,85,1
70,2,2,f,55,4,preschool,12,10,27,31,42,31,40,1
71,2,2,f,41,4,home,42,22,24,50,49,30,58,1
72,2,2,f,51,4,home,22,13,20,20,17,27,42,1
73,2,1,m,52,4,preschool,18,13,29,28,23,30,69,1
74,2,2,f,54,3,preschool,23,26,30,37,42,32,58,1
75,2,1,m,47,4,home,16,12,19,38,43,28,37,1
76,2,1,m,50,4,home,47,30,31,49,48,23,62,1
77,2,2,f,55,4,home,39,13,31,50,51,31,99,1
78,2,1,m,50,3,preschool,29,27,32,53,45,31,75,1
79,2,2,f,57,2,preschool,36,19,31,47,50,32,82,1
80,2,2,f,55,4,home,16,12,20,18,30,30,47,1
81,2,2,f,55,4,home,24,14,26,43,45,30,62,1
82,2,1,m,50,3,preschool,45,44,30,52,53,32,67,1
83,2,1,m,52,3,preschool,34,13,26,43,45,30,40,1
84,2,2,f,45,2,preschool,16,12,28,32,21,28,41,1
85,2,2,f,52,3,preschool,18,14,24,41,43,28,56,1
86,2,1,m,53,4,home,32,17,26,31,37,27,73,1
87,2,2,f,53,4,preschool,23,10,29,48,51,32,85,1
88,2,2,f,53,2,preschool,15,12,23,19,20,28,59,1
89,2,2,f,56,3,home,43,29,28,40,32,31,58,1
90,2,2,f,54,4,preschool,48,46,32,50,51,32,92,1
91,2,1,m,50,2,preschool,18,17,22,32,16,25,69,1
92,2,1,m,50,3,home,35,25,29,31,36,26,56,1
93,2,2,f,53,4,home,30,17,25,40,40,29,78,1
94,2,1,m,45,4,home,15,16,21,29,36,29,58,1
95,2,2,f,56,4,home,32,22,32,51,46,31,78,1
96,2,1,m,53,3,home,29,14,31,42,43,32,67,1
97,2,2,f,46,4,home,20,28,22,29,42,32,69,1
98,2,2,f,46,2,home,23,18,30,36,33,29,53,1
99,2,1,m,50,3,home,14,13,18,31,23,19,55,1
0,2,2,f,47,1,home,11,10,17,8,19,18,53,0
101,2,1,m,56,2,preschool,22,11,27,45,47,30,67,1
102,2,2,f,46,3,home,22,13,27,46,36,28,62,1
103,2,2,f,45,4,home,27,23,21,44,48,31,59,1
104,2,2,f,46,4,home,19,17,19,29,36,28,46,1
105,2,2,f,47,3,home,24,9,31,42,42,32,58,1
106,2,1,m,52,2,preschool,30,16,26,41,29,27,92,1
107,2,2,f,52,4,preschool,30,15,24,49,45,31,48,1
108,2,1,m,56,2,home,25,22,21,46,37,29,65,1
109,2,1,m,48,4,home,19,22,28,43,48,32,67,1
110,2,1,m,49,3,home,18,16,25,45,48,27,59,1
111,2,2,f,55,4,preschool,23,8,32,36,35,29,39,1
112,2,2,f,45,3,home,20,15,22,21,21,25,47,1
113,2,1,m,45,3,home,30,16,32,39,26,25,51,1
114,2,2,f,48,4,home,13,6,31,23,32,29,43,1
115,2,1,m,58,1,home,23,14,19,34,15,28,65,0
116,3,1,m,55,2,home,14,16,20,20,11,21,39,1
117,3,2,f,48,1,home,13,15,20,17,14,21,33,0
118,3,2,f,52,3,home,9,6,14,18,19,18,34,1
119,3,2,f,58,1,home,25,11,20,23,16,26,35,0
120,3,1,m,50,3,preschool,11,12,13,19,18,21,32,1
121,3,1,m,58,3,preschool,35,19,22,46,44,23,44,1
122,3,2,f,49,4,preschool,5,13,14,19,16,17,31,1
123,3,1,m,56,4,preschool,16,17,24,40,35,29,44,1
124,3,1,m,50,1,home,10,14,7,14,15,19,27,0
125,3,2,f,49,1,home,14,18,20,8,12,11,29,0
126,3,1,m,46,2,home,23,14,15,30,18,25,47,1
127,3,1,m,57,2,home,23,14,26,24,15,28,35,1
128,3,1,m,44,1,preschool,14,9,12,17,13,13,32,0
129,3,2,f,41,2,preschool,10,14,16,23,17,22,36,1
130,3,2,f,58,4,preschool,28,9,17,29,13,29,38,1
131,3,2,f,60,4,preschool,27,19,31,38,31,31,42,1
132,3,2,f,40,2,home,17,14,12,17,13,16,27,1
133,3,2,f,37,2,home,4,4,7,14,13,13,60,1
134,3,1,m,45,1,home,9,5,12,20,13,15,28,0
135,3,1,m,60,3,home,14,18,17,32,36,32,33,1
136,3,1,m,52,2,home,24,13,18,26,15,25,55,1
137,3,2,f,46,4,home,17,12,20,38,22,28,29,1
138,3,2,f,60,4,home,25,16,23,38,26,29,46,1
139,3,1,m,60,3,home,15,11,17,16,13,11,33,1
140,3,1,m,59,3,home,10,16,7,14,14,15,32,1
141,3,2,f,52,3,home,37,20,29,42,46,28,47,1
142,3,1,m,60,3,home,17,13,29,32,25,29,90,1
143,3,2,f,56,2,home,17,12,21,34,26,23,61,1
144,3,2,f,54,2,preschool,14,28,18,37,42,27,36,1
145,3,2,f,61,3,home,16,12,13,18,15,28,35,1
146,3,2,f,61,3,home,22,18,29,39,25,30,48,1
147,3,2,f,51,3,home,11,15,17,44,43,32,35,1
148,3,1,m,49,4,preschool,16,17,19,43,27,27,35,1
149,3,1,m,52,2,home,20,13,22,21,14,22,35,1
150,3,2,f,55,3,preschool,16,13,25,31,17,26,35,1
151,3,2,f,60,4,preschool,22,10,28,30,15,28,45,1
152,3,2,f,43,1,preschool,15,9,14,14,16,16,33,0
